source_code,source_unit,target_code,target_unit,target_display,conversion_function
1175183,8840,89872-6,mg/dL,Bilirubin.total [Moles/volume] in Arterial blood,$this
3000963,,718-7,g/L,Hemoglobin [Mass/volume] in Blood,$this
3003396,8753,1925-7,mmol/L,Base excess in Arterial blood by calculation,$this
3005491,8753,32133-1,mmol/L,Lactate [Moles/volume] in Plasma venous,$this
3006407,8842,9811-1,ng/mL,Chromogranin A [Mass/volume] in Serum or Plasma,$this
3007034,8909,21305-8,mg/(24.h),Glucose [Mass/volume] in 24 hour Urine,$this
3007628,8753,19232-8,mmol/L,Bicarbonate [Moles/volume] standard in Venous blood,$this
3010813,,26464-8,10*3/uL,Leukocytes [#/volume] in Blood,$this
3011505,,19926-5,%,FEV1/FVC,$this
3011544,8713,1748-3,g/dL,Albumin [Mass/volume] in Pleural fluid,$this
3012544,,2746-6,pH,pH of Venous blood,$this
3023520,9444,14196-0,10*9/L,Reticulocytes [#/volume] in Blood,$this
3027801,8876,2703-7,mmHg,Oxygen [Partial pressure] in Arterial blood,$this
3027946,8876,2019-8,mmHg,Carbon dioxide [Partial pressure] in Arterial blood,$this
3028167,,24467-3,/uL,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,$this
3028954,8645,49927-7,U/L,Amylase in fluid/Amylase in serum,$this
3031248,8753,41650-3,mmol/L,Chloride [Moles/volume] in Arterial blood,$this
3033408,8840,41652-9,mg/dL,Glucose [Mass/volume] in Venous blood,$this
3038383,8842,38898-3,ng/mL,Fibrin D-dimer [Titer] in Platelet poor plasma,$this
3040170,44777582,51720-1,10*-3.eq/(24.h),Potassium [Mass/time] in 24 hour Urine,$this
3041354,8753,39789-3,mmol/L,Potassium [Moles/volume] in Venous blood,$this
3041706,8840,53138-4,mg/dL,Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Arterial blood,$this
3043409,8753,32713-0,mmol/L,Potassium [Moles/volume] in Arterial blood,$this
3043518,0,43222-9,mmol/g,Potassium/Creatinine [Ratio] in Urine,$this
4101713,,14646-4,mmol/L,Cholesterol in HDL [Moles/volume] in Serum or Plasma,$this
4150621,8840,2161-8,mg/L,Creatinine [Mass/volume] in Urine,$this * 10
4172830,,8280-0,cm,Waist Circumference at umbilicus by Tape measure,$this
21490592,8753,60840-6,mmol/L,Base excess in Extracellular fluid by calculation,$this
37397915,8842,2276-4,mcg/L,Ferritin [Mass/volume] in Serum or Plasma,$this
40763574,8554,60520-4,%,Eosinophils [Presence] in Body fluid by Light microscopy,$this
42868740,8840,70268-8,mg/dL,Cholesterol in pleural fluid/Cholesterol in serum,$this
43055369,8554,71676-1,%,Neutrophils/Leukocytes [Pure number fraction] in Blood by Automated count,$this
43055373,8554,71680-3,%,Basophils/Leukocytes [Pure number fraction] in Blood by Automated count,$this
