source_system,source_code,target_system,target_code
"http://terminology.hl7.org/CodeSystem/icd9cm","1095","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1096","http://hl7.org/fhir/sid/icd-10","A15.7"
"http://terminology.hl7.org/CodeSystem/icd9cm","1100","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1101","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1102","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1103","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1104","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1105","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1106","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1110","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1111","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1112","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1113","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1114","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1115","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1116","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1120","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1121","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1122","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1123","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1124","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1125","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1126","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1130","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1131","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1132","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1133","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1134","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1135","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1136","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1140","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1141","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1142","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1143","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1144","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1145","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1146","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1150","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1151","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1152","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1153","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1154","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1155","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1156","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1160","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1161","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1162","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1163","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1164","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1165","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1166","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1170","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1171","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1172","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1173","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1174","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1175","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1176","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1180","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1181","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1182","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1183","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1184","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1185","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1186","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1190","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1191","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1192","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1193","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1194","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1195","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1196","http://hl7.org/fhir/sid/icd-10","A15.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1200","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1201","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1202","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1203","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1204","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1205","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1206","http://hl7.org/fhir/sid/icd-10","A15.6"
"http://terminology.hl7.org/CodeSystem/icd9cm","1210","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1211","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1212","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1213","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1214","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1215","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1216","http://hl7.org/fhir/sid/icd-10","A15.4"
"http://terminology.hl7.org/CodeSystem/icd9cm","1220","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1221","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1222","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1223","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1224","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1225","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1226","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1230","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1231","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1232","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1233","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1234","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1235","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1236","http://hl7.org/fhir/sid/icd-10","A15.5"
"http://terminology.hl7.org/CodeSystem/icd9cm","1280","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1281","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1282","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1283","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1284","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1285","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1286","http://hl7.org/fhir/sid/icd-10","A15.8"
"http://terminology.hl7.org/CodeSystem/icd9cm","1300","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1301","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1302","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1303","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1304","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1305","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1306","http://hl7.org/fhir/sid/icd-10","A17.0"
"http://terminology.hl7.org/CodeSystem/icd9cm","1310","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1311","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1312","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1313","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1314","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1315","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1316","http://hl7.org/fhir/sid/icd-10","A17.1"
"http://terminology.hl7.org/CodeSystem/icd9cm","1320","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1321","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1322","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1323","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1324","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1325","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1326","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1330","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1331","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1332","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1333","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1334","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1335","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1336","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1340","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1341","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1342","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1343","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1344","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1345","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1346","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1350","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1351","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1352","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1353","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1354","http://hl7.org/fhir/sid/icd-10","A17.81"
"http://terminology.hl7.org/CodeSystem/icd9cm","1355","http://hl7.org/fhir/sid/icd-10","A17.81"
