source_code,source_unit,target_code,target_unit,target_display,conversion_function,row_count_in_source
3003994,0,32546-4,,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,$this,2
3004421,8582,18170-1,cm,Left ventricular outflow tract Blood velocity-time integral by US.doppler,$this,1021
3004775,8587,19153-6,,Volume in Urine collected for unspecified duration,$this,3
3004905,0,3040-3,,Lipase [Enzymatic activity/volume] in Serum or Plasma,$this,16
3005029,8636,2881-1,,Protein [Mass/volume] in Body fluid,$this,54
3005105,9444,30376-8,,Blasts [#/volume] in Blood,$this,99
3005133,8582,18012-5,,Ascending thoracic aorta Diameter by US,$this,726
3005322,8923,19113-0,,IgE [Units/volume] in Serum or Plasma,$this,25
3005445,0,3217-7,,Coagulation factor X activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,5
3005456,0,6298-4,mmol/L,Potassium [Moles/volume] in Blood,$this,2
3005456,8753,6298-4,mmol/L,Potassium [Moles/volume] in Blood,$this,15007
3005673,8554,17856-6,,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,$this,192
3005673,9579,17856-6,,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,$this,3
3005719,8636,2465-3,,IgG [Mass/volume] in Serum or Plasma,$this,226
3005755,8923,1743-4,,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,$this,15810
3005785,8748,13969-1,,Creatine kinase.MB [Mass/volume] in Serum or Plasma,$this,1
3005807,8555,24471-5,,Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood,$this,1
3005962,8736,15118-3,,Chromium [Moles/volume] in Blood,$this,1
3006140,8749,14631-6,,Bilirubin.total [Moles/volume] in Serum or Plasma,$this,16085
3006257,8736,20427-1,,Acetylcholine receptor Ab [Moles/volume] in Serum,$this,2
3006315,9444,26444-0,,Basophils [#/volume] in Blood,$this,20264
3006361,8923,20433-9,,Follitropin [Units/volume] in Serum or Plasma by 2nd IRP,$this,7
3006588,8923,6875-9,,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,$this,4
3006653,8736,32554-8,,Thiamine [Moles/volume] in Blood,$this,2
3006924,0,3192-2,,Coagulation factor V activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,2
3007164,8636,2458-8,,IgA [Mass/volume] in Serum or Plasma,$this,232
3007204,0,3186-4,,Coagulation factor IX activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,8
3007220,8923,2157-6,,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,$this,260
3007234,0,608-0,,Bacteria identified in Ear by Aerobe culture,$this,11
3007368,8751,2464-6,,IgG [Mass/volume] in Cerebral spinal fluid,$this,2
3007461,9444,26515-7,,Platelets [#/volume] in Blood,$this,20502
3007527,8576,9804-6,,Weight of Stone,$this,1
3007733,8753,2078-4,,Chloride [Moles/volume] in Urine,$this,2
3007808,0,2915-7,,Renin [Enzymatic activity/volume] in Plasma,$this,14
3007822,0,13438-7,,Protein Fractions [Interpretation] in Urine by Electrophoresis,$this,1
3007930,0,2614-6,,Methemoglobin/Hemoglobin.total in Blood,$this,2
3007930,8554,2614-6,,Methemoglobin/Hemoglobin.total in Blood,$this,14436
3008009,0,3175-7,,Antithrombin Ag [Units/volume] in Platelet poor plasma by Immunoassay,$this,1
3008295,8862,2692-2,,Osmolality of Serum or Plasma,$this,286
3008486,8729,14920-3,,Thyroxine (T4) free [Moles/volume] in Serum or Plasma,$this,1244
3008770,0,22705-8,,Glucose [Moles/volume] in Urine by Test strip,$this,1
3009035,8845,14685-2,,Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma,$this,988
3009105,0,20409-9,,Erythrocytes [#/volume] in Urine by Test strip,$this,1
3009214,8923,10501-5,,Lutropin [Units/volume] in Serum or Plasma,$this,7
3009237,8729,30169-7,,Chromogranin A [Units/volume] in Serum or Plasma by Immunoassay,$this,1
3009461,8907,14573-0,,5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine,$this,1
3009508,8749,14683-7,,Creatinine [Moles/volume] in Urine,$this,527
3009542,0,20570-8,,Hematocrit [Volume Fraction] of Blood,$this,1
3009542,8554,20570-8,,Hematocrit [Volume Fraction] of Blood,$this,13558
3009542,44777604,20570-8,,Hematocrit [Volume Fraction] of Blood,$this,20542
3009577,8749,14800-7,,Iron binding capacity [Moles/volume] in Serum or Plasma,$this,985
3009762,0,18303-8,,IgM [Presence] in Serum by Immunofixation,$this,6
3009814,8554,14801-5,,Iron saturation [Molar fraction] in Serum or Plasma,$this,985
3009991,0,12480-0,,Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid,$this,1
3010015,8749,25521-6,,Selenium [Moles/volume] in Serum or Plasma,$this,2
3010375,8748,3520-4,,cycloSPORINE [Mass/volume] in Blood,$this,1
3010421,0,11558-4,,pH of Blood,$this,15145
3010503,9444,8116-6,,CD19 cells [#/volume] in Blood,$this,4
3010528,0,15359-3,,dRVVT actual/normal (normalized LA screen),$this,19
3010566,8729,14866-8,,Parathyrin.intact [Moles/volume] in Serum or Plasma,$this,133
3010589,8555,5946-9,,aPTT.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,$this,520
3010813,9444,26464-8,,Leukocytes [#/volume] in Blood,$this,20548
3011096,8582,18152-9,cm,Left ventricular posterior wall Thickness during diastole by US,$this,1330
3011412,9444,8122-4,,CD3 cells [#/volume] in Blood,$this,20
3011570,8753,29765-5,,Cholesterol [Moles/volume] in Body fluid,$this,4
3011689,0,4536-9,,Deoxyhemoglobin/Hemoglobin.total in Blood,$this,15046
3011933,8749,11139-3,,Metanephrine [Mass/volume] in Urine,$this,5
3011958,8749,16362-6,,Ammonia [Moles/volume] in Plasma,$this,39
3012071,0,5218-3,,Histoplasma capsulatum Ab [Presence] in Serum by Immune diffusion (ID),$this,1
3012095,8753,2601-3,,Magnesium [Moles/volume] in Serum or Plasma,$this,5932
3012133,8923,1795-4,,Amylase [Enzymatic activity/volume] in Body fluid,$this,8
3012140,8876,18059-6,mmHg,Mitral valve Mean pressure gradient by US.doppler,$this,136
3012310,8749,29767-1,,Bilirubin.total [Moles/volume] in Body fluid,$this,1
3012336,8636,4542-7,,Haptoglobin [Mass/volume] in Serum or Plasma,$this,59
3012343,8923,31159-7,,Heparin anti Xa [Units/volume] in Nonbiological fluid,$this,31
3012501,0,11555-0,,Base excess in Blood by calculation,$this,2
3012501,8753,11555-0,,Base excess in Blood by calculation,$this,15104
3012565,8587,3167-4,,Volume of 24 hour Urine,$this,11
3012602,8729,25474-8,,Metanephrines [Moles/volume] in Serum or Plasma,$this,13
3012693,0,30554-0,,HIV reverse transcriptase gene mutations detected [Identifier],$this,2
3012898,8753,22700-9,,Urea [Moles/volume] in Urine,$this,35
3012984,8751,10992-6,,Norclozapine [Mass/volume] in Serum or Plasma,$this,7
3013005,8749,14905-4,,Retinol [Moles/volume] in Serum or Plasma,$this,2
3013115,9444,26449-9,,Eosinophils [#/volume] in Blood,$this,20324
3013176,0,5899-0,,aPTT normal/actual in Platelet poor plasma by Coagulation assay,$this,4519
3013180,0,10351-5,,HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by Probe with amplification,$this,8
3013290,0,11557-6,,Carbon dioxide [Partial pressure] in Blood,$this,2
3013290,44777602,11557-6,,Carbon dioxide [Partial pressure] in Blood,$this,15147
3013395,8554,10231-9,,Right ventricular Ejection fraction,$this,1
3013502,0,20564-1,,Oxygen saturation in Blood,$this,4
3013502,8554,20564-1,,Oxygen saturation in Blood,$this,30044
3013603,8748,2857-1,,Prostate specific Ag [Mass/volume] in Serum or Plasma,$this,96
3013702,44777602,19254-2,,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,$this,582
3013707,8752,4537-7,,Erythrocyte sedimentation rate by Westergren method,$this,209
3013731,8923,5193-8,,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,$this,163
3013801,0,13955-0,,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,$this,1
3013826,8753,14749-6,,Glucose [Moles/volume] in Serum or Plasma,$this,146
3014037,8554,8123-2,,CD3+CD4+ (T4 helper) cells/100 cells in Blood,$this,20
3014051,0,20454-5,,Protein [Presence] in Urine by Test strip,$this,1
3014111,8753,2524-7,,Lactate [Moles/volume] in Serum or Plasma,$this,35
3014326,8736,29775-4,,Insulin-like growth factor-I [Moles/volume] in Serum or Plasma,$this,2
3014576,8753,2075-0,,Chloride [Moles/volume] in Serum or Plasma,$this,13
3014594,8753,25549-7,,Urea [Moles/volume] in Body fluid,$this,2
3014724,8910,14684-5,,Creatinine [Moles/time] in 24 hour Urine,$this,11
3015377,8753,2000-8,,Calcium [Moles/volume] in Serum or Plasma,$this,14094
3015468,0,20496-6,,Gliadin IgG Ab [Units/volume] in Serum by Immunoassay,$this,2
3015509,44777606,18037-2,,Mitral valve Peak E wave by US.doppler,$this,960
3015736,0,2756-5,,pH of Urine,$this,1
3015916,8923,19176-7,,Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma,$this,27
3015968,0,19214-6,,Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood,$this,2
3015968,44777602,19214-6,,Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood,$this,14259
3016038,8753,2828-2,,Potassium [Moles/volume] in Urine,$this,281
3016047,0,18038-0,,Mitral valve Peak E wave/Peak A wave by US.doppler,$this,663
3016087,0,32309-7,,Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma,$this,303
3016228,8554,8117-4,,CD19 cells/100 cells in Blood,$this,4
3016293,0,1963-8,,Bicarbonate [Moles/volume] in Serum or Plasma,$this,2
3016293,8753,1963-8,,Bicarbonate [Moles/volume] in Serum or Plasma,$this,15064
3016330,8910,2829-0,,Potassium [Moles/time] in 24 hour Urine,$this,2
3016407,8636,3255-7,,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,$this,720
3016426,8749,13964-2,,Methylmalonate [Moles/volume] in Serum or Plasma,$this,2
3016523,8923,14796-7,,Insulin [Moles/volume] in Serum or Plasma,$this,2
3016616,8749,14688-6,,Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma,$this,1
3016727,0,611-4,,Bacteria identified in Body fluid by Culture,$this,129
3016728,8749,20646-6,,Homocystine [Moles/volume] in Serum or Plasma,$this,1
3016771,8923,1798-8,,Amylase [Enzymatic activity/volume] in Serum or Plasma,$this,404
3017044,8923,5385-0,,Thyrotropin receptor Ab [Units/volume] in Serum,$this,14
3017446,8736,14913-8,,Testosterone [Moles/volume] in Serum or Plasma,$this,15
3017701,8582,29429-8,cm,Inferior vena cava Diameter by US --inspiration,$this,383
3017732,9444,26499-4,,Neutrophils [#/volume] in Blood,$this,20461
3017754,44777618,24518-3,,Calcium/Creatinine [Molar ratio] in Urine,$this,1
3017765,8554,29434-8,,Left ventricular Fractional shortening minor axis by US 2D,$this,1262
3017766,8636,4498-2,,Complement C4 [Mass/volume] in Serum or Plasma,$this,129
3018133,8753,2004-0,,Calcium [Moles/volume] in Urine,$this,1
3018447,0,11011-4,,Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,$this,1
3018572,0,2069-3,,Chloride [Moles/volume] in Blood,$this,2
3018572,8753,2069-3,,Chloride [Moles/volume] in Blood,$this,15037
3018676,0,3174-0,,Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method,$this,5
3018677,8555,14979-9,,aPTT in Platelet poor plasma by Coagulation assay,$this,4519
3018694,44777656,27978-6,,Metanephrines/Creatinine [Molar ratio] in 24 hour Urine,$this,5
3018760,0,5909-7,,Blood smear finding [Identifier] in Blood by Light microscopy,$this,2
3018851,8751,14915-3,,Theophylline [Moles/volume] in Serum or Plasma,$this,13
3018980,8751,14639-9,,carBAMazepine [Moles/volume] in Serum or Plasma,$this,1
3018994,8923,14803-1,,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction,$this,55
3019170,8923,11580-8,,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,$this,1310
3019198,9444,26474-7,,Lymphocytes [#/volume] in Blood,$this,20461
3019256,0,18161-0,,Tricuspid valve Maximum blood flow velocity by US.doppler,$this,37
3019256,44777606,18161-0,,Tricuspid valve Maximum blood flow velocity by US.doppler,$this,1104
3019284,0,5195-3,,Hepatitis B virus surface Ag [Presence] in Serum,$this,1
3019420,8748,21582-2,,Tryptase [Mass/volume] in Serum or Plasma,$this,1
3019473,8636,2880-3,,Protein [Mass/volume] in Cerebral spinal fluid,$this,4
3019550,8753,2951-2,mmol/L,Sodium [Moles/volume] in Serum or Plasma,$this,22307
3019779,8751,14877-5,,Phenytoin [Moles/volume] in Serum or Plasma,$this,8
3019800,8725,6598-7,ng/L,Troponin T.cardiac [Mass/volume] in Serum or Plasma,$this,4081
3019839,8749,15069-8,,Fructosamine [Moles/volume] in Serum or Plasma,$this,1
3019900,8753,14647-2,mmol/L,Cholesterol [Moles/volume] in Serum or Plasma,$this,336
3019902,0,13317-3,,Methicillin resistant Staphylococcus aureus [Presence] in Specimen by Organism specific culture,$this,448
3020044,8753,14744-7,,Glucose [Moles/volume] in Cerebral spinal fluid,$this,2
3020059,8753,29265-6,,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,$this,14091
3020149,8736,1989-3,,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,$this,359
3020460,8751,1988-5,mg/L,C reactive protein [Mass/volume] in Serum or Plasma,$this,15835
3020491,0,15074-8,,Glucose [Moles/volume] in Blood,$this,2
3020491,8753,15074-8,,Glucose [Moles/volume] in Blood,$this,67265
3020508,0,18299-8,,IgA [Presence] in Serum by Immunofixation,$this,5
3020564,0,14682-9,,Creatinine [Moles/volume] in Serum or Plasma,$this,2761
3020564,8749,14682-9,,Creatinine [Moles/volume] in Serum or Plasma,$this,22550
3020630,8636,2885-2,,Protein [Mass/volume] in Serum or Plasma,$this,393
3020717,8749,14955-9,,Zinc [Moles/volume] in Serum or Plasma,$this,3
3020779,8753,22664-7,,Urea [Moles/volume] in Serum or Plasma,$this,7731
3020876,8807,2889-4,,Protein [Mass/time] in 24 hour Urine,$this,6
3021119,0,1994-3,,Calcium.ionized [Moles/volume] in Blood,$this,2
3021119,8753,1994-3,,Calcium.ionized [Moles/volume] in Blood,$this,15228
3021120,9444,30446-9,,Myelocytes [#/volume] in Blood,$this,152
3021614,8923,11572-5,,Rheumatoid factor [Units/volume] in Serum or Plasma,$this,92
3021960,8842,14732-2,,Folate [Moles/volume] in Serum or Plasma,$this,933
3022229,8753,13539-2,,Phosphate [Moles/volume] in Urine,$this,1
3022250,8923,14804-9,,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,$this,251
3022411,8736,14603-5,,Androstenedione [Moles/volume] in Serum or Plasma,$this,1
3022520,0,3208-6,,Coagulation factor VIII activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,10
3022533,8554,8124-0,,CD3 cells/100 cells in Blood,$this,20
3022621,0,5803-2,,pH of Urine by Test strip,$this,2
3022709,9444,26523-1,,Promyelocytes [#/volume] in Blood,$this,7
3022810,8753,2950-4,,Sodium [Moles/volume] in Body fluid,$this,2
3022914,8923,24108-3,,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,$this,13
3022941,8582,18083-6,cm,Left ventricular Internal diameter minor axis diastole by US 2D,$this,1371
3022948,8749,14798-3,,Iron [Moles/volume] in Serum or Plasma,$this,1053
3023081,0,20563-3,,Carboxyhemoglobin/Hemoglobin.total in Blood,$this,2
3023081,8554,20563-3,,Carboxyhemoglobin/Hemoglobin.total in Blood,$this,15041
3023103,8753,2823-3,mmol/L,Potassium [Moles/volume] in Serum or Plasma,$this,21602
3023368,0,600-7,,Bacteria identified in Blood by Culture,$this,1500
3023520,9444,14196-0,,Reticulocytes [#/volume] in Blood,$this,111
3023614,8582,29468-6,mm,Left atrial Diameter anterior-posterior systole by US 2D,$this * 10,766
3023690,8554,32137-2,,Calcium phosphate/Total in Stone,$this,1
3023764,0,32355-0,,Bacteria identified in Specimen by Respiratory culture,$this,15
3024139,8636,2468-7,,IgG subclass 3 [Mass/volume] in Serum,$this,11
3024172,8923,15061-5,,Erythropoietin (EPO) [Units/volume] in Serum or Plasma,$this,17
3024507,9444,30433-7,,Metamyelocytes [#/volume] in Blood,$this,118
3024561,8636,1751-7,g/L,Albumin [Mass/volume] in Serum or Plasma,$this,16744
3024666,8753,14334-7,,"Lithium, Blood [Moles/volume] in Serum or Plasma",$this,1
3024731,8583,30428-7,,MCV [Entitic volume],$this,20542
3024929,9444,777-3,,Platelets [#/volume] in Blood by Automated count,$this,31
3024965,0,18055-4,,Tricuspid valve Maximum pressure gradient during diastole by US.doppler,$this,28
3024965,8876,18055-4,,Tricuspid valve Maximum pressure gradient during diastole by US.doppler,$this,1096
3024980,8636,2469-5,,IgG subclass 4 [Mass/volume] in Serum,$this,11
3025317,0,3197-1,,Coagulation factor VII activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,1
3025431,0,11553-5,,Microscopic exam [Interpretation] of Sputum by Cytology,$this,481
3025547,8923,8098-6,,Thyroglobulin Ab [Units/volume] in Serum or Plasma,$this,1
3025839,8753,14927-8,mmol/L,Triglyceride [Moles/volume] in Serum or Plasma,$this,344
3025848,8736,15119-1,,Cobalt [Moles/volume] in Blood,$this,1
3025890,8751,14626-6,,Beta-2-Microglobulin [Moles/volume] in Serum,$this,13
3026008,0,630-4,,Bacteria identified in Urine by Culture,$this,1841
3026101,8753,29766-3,,Triglyceride [Moles/volume] in Body fluid,$this,8
3026179,8729,25489-6,,Normetanephrine [Moles/volume] in Serum or Plasma,$this,13
3026250,8748,11253-2,,Tacrolimus [Mass/volume] in Blood,$this,9
3026285,8636,1825-9,,Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma,$this,16
3026361,8734,26453-1,,Erythrocytes [#/volume] in Blood,$this,20543
3026493,8749,14933-6,,Urate [Moles/volume] in Serum or Plasma,$this,156
3026591,0,4677-1,,Protein S Free Ag [Units/volume] in Platelet poor plasma by Immunoassay,$this,1
3026687,0,18301-2,,IgG [Presence] in Serum by Immunofixation,$this,28
3026782,8862,2695-5,,Osmolality of Urine,$this,237
3026910,8923,2324-2,,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,$this,95
3026989,8729,14928-6,,Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma,$this,22
3027135,8636,2466-1,,IgG subclass 1 [Mass/volume] in Serum,$this,11
3027238,8923,8099-4,,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,$this,18
3027290,44777662,29449-6,,Mitral valve Regurgitant volume by US.doppler+Calculated by PISA method,$this,89
3027315,0,11556-8,,Oxygen [Partial pressure] in Blood,$this,2
3027315,44777602,11556-8,,Oxygen [Partial pressure] in Blood,$this,15092
3027391,8555,24472-3,,Platelet function (closure time) collagen+ADP induced [Time] in Blood,$this,1
3027424,0,616-3,,Bacteria identified in Line specimen by IV Line culture,$this,27
3027456,8748,14698-5,,Digoxin [Moles/volume] in Serum or Plasma,$this,191
3027544,0,539-7,,Mycobacterium sp identified in Sputum by Organism specific culture,$this,129
3027923,8729,14633-2,,C peptide [Moles/volume] in Serum or Plasma,$this,4
3027945,8554,4679-7,,Reticulocytes/100 erythrocytes in Blood,$this,111
3028026,8636,2472-9,,IgM [Mass/volume] in Serum or Plasma,$this,226
3028167,9444,24467-3,,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,$this,20
3028192,8636,2467-9,,IgG subclass 2 [Mass/volume] in Serum,$this,11
3028570,44777606,11706-9,,Aortic valve Peak systolic flow by US.doppler,$this,1215
3028638,8749,14629-0,,Bilirubin.direct [Moles/volume] in Serum or Plasma,$this,44
3028850,0,42216-2,,Referral lab name [Identifier],$this,1
3029071,8554,42246-9,,Hemoglobin F/Hemoglobin.total in Blood by HPLC,$this,9
3029435,8725,33763-4,,Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma,$this,1971
3029483,0,32677-7,,DNA double strand Ab [Units/volume] in Serum by Immunoassay,$this,16
3029713,8636,51435-6,,Protein.monoclonal band 1 [Mass/volume] in Serum or Plasma by Electrophoresis,$this,28
3030057,8748,33782-4,,Retinol binding protein [Mass/volume] in Urine,$this,1
3030091,0,49701-6,,pH of Blood adjusted to patient's actual temperature,$this,590
3030207,0,50978-6,,Lambda light chains.free [Presence] in Serum by Immunofixation,$this,23
3030408,8729,50140-3,,3-Methoxytyramine [Moles/volume] in Serum or Plasma,$this,13
3031847,0,41867-3,,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma,$this,3
3031973,8554,42244-4,,Hemoglobin A/Hemoglobin.total in Blood by HPLC,$this,60
3032080,0,34714-6,,INR in Blood by Coagulation assay,$this,5418
3032567,0,42595-9,,Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,$this,1
3032699,0,49672-9,,Streptococcus pneumoniae DNA [Presence] in Specimen by NAA with probe detection,$this,2
3033203,44777602,34705-4,,Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Blood,$this,590
3033386,0,41602-4,,Bacteria [Presence] in Cerebral spinal fluid by Light microscopy,$this,9
3033923,8907,11140-1,,Metanephrine [Moles/time] in 24 hour Urine,$this,5
3034200,8582,18018-2,,Left ventricular outflow tract Diameter by US,$this,562
3034426,8555,5902-2,,Prothrombin time (PT),$this,5416
3034708,0,19048-8,,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood,$this,19767
3034717,0,32218-0,,Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay,$this,49
3034780,0,2742-5,,Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma,$this,28
3034860,8751,36916-5,,Kappa light chains.free [Mass/volume] in Serum,$this,300
3035350,0,2514-8,,Ketones [Presence] in Urine by Test strip,$this,1
3035613,0,3237-5,,Coagulation factor XIII activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,1
3035637,0,2141-0,,Corticotropin [Mass/volume] in Plasma,$this,4
3035797,8636,35559-4,,Protein.monoclonal band 2 [Mass/volume] in Serum or Plasma by Electrophoresis,$this,28
3035941,8564,28539-5,,MCH [Entitic mass],$this,20542
3035995,8923,6768-6,,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,$this,16277
3035999,8753,2520-5,,Lactate [Moles/volume] in Cerebral spinal fluid,$this,1
3036243,8753,2821-7,,Potassium [Moles/volume] in Body fluid,$this,2
3036309,8749,15009-4,,5-Hydroxyindoleacetate [Moles/volume] in Urine,$this,1
3036481,0,14675-3,,Cortisol [Moles/volume] in Serum or Plasma,$this,268
3036481,8736,14675-3,,Cortisol [Moles/volume] in Serum or Plasma,$this,4
3036535,8748,3013-0,,Thyroglobulin [Mass/volume] in Serum or Plasma,$this,1
3037081,8923,30239-8,,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,$this,78
3037121,8636,2888-6,,Protein [Mass/volume] in Urine,$this,218
3037208,9483,17977-0,cm2,Left atrial Area by US.2D.A4C,$this,326
3037329,0,36923-1,,Epstein Barr virus DNA [#/volume] (viral load) in Blood by NAA with probe detection,$this,6
3037426,0,5818-0,,Urobilinogen [Presence] in Urine by Test strip,$this,449
3037459,8749,25386-4,,Creatinine [Moles/volume] in Body fluid,$this,3
3037486,8582,18169-3,cm,Aortic valve Blood velocity-time integral by US.doppler,$this,662
3037551,8923,10334-1,,Cancer Ag 125 [Units/volume] in Serum or Plasma,$this,12
3037653,8554,42245-1,,Hemoglobin A2/Hemoglobin.total in Blood by HPLC,$this,19
3037756,0,25700-6,,Immunofixation for Serum or Plasma,$this,63
3038288,0,40982-1,,Influenza virus B RNA [Presence] in Specimen by NAA with probe detection,$this,5
3038404,44777612,40486-3,,Protein/Creatinine [Ratio] in 24 hour Urine,$this,218
3039578,8907,40409-5,,3-Methoxytyramine [Moles/time] in 24 hour Urine,$this,5
3040168,0,51584-1,,Immature granulocytes [#/volume] in Blood,$this,1162
