source_code,target_code,target_display
4194518,79032000,Paradoxical diaphragmatic movement
4194517,7903009,Hallermann-Streiff syndrome
4325593,71657006,Operation on testis
4227291,87696004,Hemorrhagic cystitis
4194524,79047009,Panthera tigris
4030685,238229006,Incision and drainage of lesion of abdominal wall
4260064,409530006,Decontamination
4227308,346324007,Androgen receptor antagonist-containing product
4260078,409581001,Enteric precautions
4194546,79139007,Petting
4096245,25082004,Resting tremor
4096252,25106000,Impending infarction
4030716,14385002,Enterobacter cloacae
4161804,398137007,Finding of creatine kinase level
4030741,128965002,Hand grip
4194588,314635004,Magnetic resonance cholangiopancreatography
4227357,420966002,Lenalidomide 10 mg oral capsule
4030754,129679001,Computed tomography result abnormal
4161829,398250003,Familial hemophagocytic lymphohistiocytosis
4030761,129689002,At increased risk for nutritional problem
4030769,129721008,New finding since previous mammogram
4227383,406152008,Admission assessment
4227384,406164000,Chemical restraint
4096313,262519004,Multiple injuries
4194618,67682002,Coronary artery atheroma
4096315,262522002,Injury of cervical spine
4030777,10799006,Ipomoea asariflora
4194619,67683007,Abnormal pulse
4227390,406182002,Self-care assistance: transfer
4096319,262539000,Superficial friction burn
4325701,430567009,Ready for discharge
4161864,374372000,Betamethasone (as betamethasone valerate) 1 mg/g cutaneous cream
4030800,108121002,Nerve excision
4096343,26322001,Bleeding from ear
4227418,87750000,Insertion of nasogastric tube
4063579,20135006,Screening procedure
4194652,67882000,Pruritus of vulva
4194653,67889009,Irrigation
4260194,409668002,Photophobia
4260197,409674002,Prothrombin time increased
4096357,190884008,Respiratory acidemia
4260205,409702008,Hyperpyrexia
4030835,238328000,Limited thoracotomy
4030840,23835007,Electroconvulsive therapy
4227449,8847002,Spondylosis
4030842,238356005,Intercostal drain removal
4096383,249032005,Finding of speed of delivery
4030848,238378003,Scalp folliculitis
4030849,238382001,Wound abscess
4129154,289524006,Swelling of vagina
4129155,289530006,Vaginal bleeding
4030871,14089001,Red blood cell count
4129176,289620008,Uterus normal
4161947,398318005,Fournier's gangrene
197023,85502002,Bilateral inguinal hernia
4030879,14138004,Slug
4161955,398371005,Salmonella enterica subsp. houtenae
4030886,14152002,Intravenous infusion
4260263,440408002,Diffusion weighted magnetic resonance imaging
197031,65727000,Intrauterine pregnancy
4161962,398432008,Bulbar weakness
197034,49723003,Intussusception of intestine
4161973,371806006,Progressive angina
4030902,129817005,Personal hygiene finding
4030905,129846003,Polypharmacy
40599994,48983004,X chromosome-linked sideroblastic anemia
4030907,129850005,At increased risk for negative response to medication
4030908,129851009,Alteration in bowel elimination
4161978,371825009,Patient on oxygen
4030916,129907001,Base excess
4096471,262557004,Deep wound
4325865,429428003,Chronic hypercapnia
4260332,409801009,Extended spectrum beta-lactamase producing Klebsiella pneumoniae
4260333,409802002,Infection due to ESBL bacteria
197102,249284009,Unaware of passing urine
4194803,79395009,Dry hair
4162038,2929001,Occlusion of artery
4227594,88616000,Acne vulgaris
4096536,249232003,Scrotum finding
4227613,346938005,Clobetasol propionate 500 microgram/g cutaneous cream
4227614,346992009,Hydrocortisone 10 mg/g cutaneous cream
3572256,12291000132102,Refractory acute myeloid leukemia
4194852,43954004,Head-banging
4293157,384758001,Self-care interventions
4096556,249301002,Bleeding from urethra
4260398,44785005,Minimal change disease
4194872,312775003,Debridement of ulcer
4129339,289741005,Uterus contracted
4227648,422156002,Under local anesthesia
4194886,312826009,External iliac artery occlusion
4031047,1431002,Fixation
4129355,237503005,Borderline thyrotoxicosis
4129356,237508001,Iatrogenic thyrotoxicosis
4260438,409862004,Cellulosimicrobium cellulans
4194916,68072000,Hereditary pancreatitis
4063847,164773008,Sleep studies
4227687,422304003,Grasses
4194925,681006,Antiaris toxicaria
197230,371973000,Malignant neoplasm of uterus
4129392,125591009,Injury of pharynx
4129393,125606003,Fracture of cervical spine
4194929,6811007,Prejudice
4129394,125608002,Fracture of lumbar spine
197236,95315005,Uterine leiomyoma
4063864,171789006,Therapeutic sacral epidural injection
4096643,262784001,Contusion of lung
197253,111407006,Hemolytic uremic syndrome
4096646,262799001,Contusion of liver
4194952,79486002,Oversewing
4129418,12584003,Bone pain
4129420,125872003,Fracture of sacrum
4194957,79516005,Angiography of renal artery
4063885,171641005,Intracranial stereotactic neurolysis of trigeminal nerve (V)
4227730,87683000,Left handed
4194964,79537002,Operation on endocrine system
4227733,87697008,Punch biopsy of skin
4227732,87694001,Pyruvate carboxylase deficiency
4031132,109364007,Left pneumothorax
4227745,87727006,Infertility study
4031140,238605006,Psoriatic nail dystrophy
4260518,44868003,Acupuncture
4260520,44882003,Balanitis
4096682,249366005,Bleeding from nose
4194987,44170005,To-and-fro murmur
4194993,442001,Secondary hypopituitarism
197304,95344007,Ulcer of lower extremity
4195007,44256003,Chronic eczema
377888,44057004,Conductive hearing loss
4195013,44273001,Reflex bradycardia
4162246,398182006,Insertion of inferior vena caval filter
4195014,44274007,Lymphoid interstitial pneumonia
197320,14669001,Acute kidney injury
4096712,249489001,Choking
4096715,249497008,Vomiting symptom
197324,66579008,Disorder of peritoneum
4096717,25124003,Selective inattention
197331,41368006,Disorder of urinary tract
4031189,14447001,Dandy-Walker syndrome
4195039,312894000,Osteopenia
4195043,312907002,High risk proliferative retinopathy due to diabetes mellitus
4096740,292940002,Nitrofurantoin adverse reaction
4162276,372244006,Malignant melanoma
4031208,14133008,Closure by wire
4129520,237635002,Nocturnal hypoglycemia due to diabetes mellitus
4227830,421182009,Episodic ataxia type 1
4129537,237705001,Hypophysitis
4096769,262822009,Laceration of spleen
4031233,129738007,Circumscribed lesion
4129540,237715007,Pituitary mass
197381,79922009,Epigastric pain
4031236,129744006,High density lesion
4129545,237130006,Mid-cycle bleeding
4195085,68235000,Nasal congestion
4096783,26294005,Radical prostatectomy
4031251,129806009,Difference in size
4031263,10942006,Plication
4326177,430193006,Medication reconciliation
4195118,79671001,Inferior vena cava syndrome
4326191,430272004,Magnetic resonance cholangiopancreatography with contrast
4195136,79733001,Amputation above-knee
4162369,398212009,Liquid stool
4227905,88393000,Sanfilippo syndrome
4162374,398232005,Drug dose
4064072,164717000,EEG normal
4260685,45089002,Normal vision
4162383,398284004,Patient in room
4096848,25136009,Ataxic gait
4195151,44378008,Partial colectomy with anastomosis
4293463,385093006,Community acquired pneumonia
4096855,249509001,Unable to break wind
4162391,398313001,Vocal cord trauma
4096859,249535000,Abdominal skin ptosis
4326236,7501002,Lactic acid level above reference range
4096862,249543005,Abdomen soft
4195171,44452003,Normocytic hypochromic anemia
4326249,75059003,Alternaria
4031341,14240001,Poliosis
4326255,75100008,Abdominal abscess
197494,50711007,Viral hepatitis C
4326264,75140002,Carpopedal spasm
4326270,75180006,Percussion
197506,188366002,Malignant neoplasm of abdomen
197508,399326009,Malignant tumor of urinary bladder
4096902,293170000,Prednisolone adverse reaction
4227981,421346005,3+ pitting edema
4129677,290084006,Breast normal
4031375,129880000,Finding related to dependent adult care
4096912,26413003,Low motivation
4162447,373620007,Romberg test
4260754,412744006,High sugar diet
4096916,26421009,Bleeding external hemorrhoids
4260763,412786000,Poor eye contact
4260765,412808005,Serum total cholesterol measurement
4195232,67967009,Cushingoid facies
4064161,19943007,Cirrhosis of liver
4228050,88733004,Operation on nose
4260819,44606004,Adhesion of omentum
4195288,44491008,Fluoroscopy
197593,62851005,Impaction of intestine
197603,9707006,Intestinal volvulus
4260836,4470009,Blanching of skin
4195305,44548000,Hyperactive behavior
197610,79883001,Cyst of ovary
4228073,88815003,Peripheral block anesthesia
4031471,238425003,Meningococcal rash
4293619,384643000,Repair of tricuspid valve
4162564,373676004,Romberg sign
4195338,313840000,Serum total bilirubin measurement
4228107,421422004,Intravitreal fluid air exchange
4031507,14403007,Ileotransversostomy
197654,72925005,Congenital cystic disease of liver
197656,204957003,Medullary cystic disease of the kidney
4162585,373784005,Dispensing medication
4228133,421529006,Dementia with AIDS (acquired immunodeficiency syndrome)
197672,165232002,Urinary incontinence
197675,72042002,Incontinence of feces
197676,80515008,Large liver
197684,49650001,Dysuria
4195384,68154008,Chronic cough
4064323,164742009,Schirmer's test
4064334,164790002,Breath test
4195408,79104007,Somatomedin-C measurement
4260951,45086009,Rovsing's sign
4195422,79169000,Alkalemia
44794975,293951000000103,Poor personal hygiene
4293727,401135008,Asthma education
4195426,79184009,Bladder trabeculation
4228194,88854002,Congenital hypoplastic anemia
4195428,7919002,Impaired skin integrity
4293738,384692006,Intracavitary brachytherapy
4326509,428417006,Early repolarization
4129902,126906006,Neoplasm of prostate
4195440,79231000,Hydrothorax
4260977,440583007,Sexual orientation unknown
4195445,44515000,Perseveration
4064377,171207006,Depression screening
4097145,249855007,Poor trunk control
4064381,171234009,Nephropathy screening
4228222,8900005,Hypoproteinemia
4097149,249863008,Sitting supported
4064385,171250001,Urine screening normal
4097153,249884003,Deviation of uvula
4097154,249900008,Does not move all four limbs
4097156,249905003,Difficulty lying down
4097158,249912007,Ankle stiff
4097159,249914008,Hip stiff
4097162,249931001,Weakness of neck
4097164,249945007,Monoparesis of lower limb
4228239,347928005,Clobetasol propionate 500 microgram/g cutaneous ointment
4195473,43988005,Temporary tracheostomy
4097170,249985001,Poor balance
4326561,75038005,Cerebellar hemorrhage
4195490,313989009,Serum cholesterol/HDL ratio measurement
4162723,373930000,Cognitive function finding
4162724,373932008,Feels hot
4261028,410803008,Decompression operation
4195502,314033007,Uveitic glaucoma
4207571,323183005,Ropinirole (as ropinirole hydrochloride) 250 microgram oral tablet
4326594,75183008,Abnormal liver function
4064452,164889003,ECG: atrial fibrillation
4326597,75204008,Omental infarction
4064457,164898000,EKG: heart block
4064460,164907000,EKG: right bundle branch block
4064468,164950005,ECG: QRS complex normal
4293855,401207004,Medication side effects present
4130022,237557003,Mass of thyroid gland
4195559,79241002,Simian immunodeficiency virus
4293865,401271004,Email sent to patient
4195568,79261008,Van der Woude syndrome
4031730,129693008,At increased risk for imbalanced fluid volume
4064499,171313004,Geriatric screening
132342,68345001,Apraxia
4162806,398958000,"Chondrodysplasia punctata, X-linked dominant type"
4130040,126962006,Neoplasm of spinal cord
46269691,101401000119103,Pulmonary granuloma
4195585,79351003,Hostile behavior
4293895,3764006,Trichomonas
4228361,89105000,Asteatosis cutis
4130061,127024001,Neoplasm of pituitary gland
4326674,430688009,Prosthetic arthroplasty of left hip
4326677,430694001,Prosthetic arthroplasty of right hip
4228378,348374003,Chlorpromazine (as chlorpromazine hydrochloride) 25 mg rectal suppository
4326683,430715008,Bariatric operative procedure
4195615,44031002,Postseizure confusion
132392,200946001,Staphylococcal scalded skin syndrome
4162863,372039005,Patient identification
197938,26158002,Uterine inertia
132408,302258001,Back problem
4195642,314089003,Thrombophilia screening test
46269757,10641391000119104,Chronic ulcer of skin of lower leg
4326728,7527002,Legionella
4326737,75314002,Kalmia
4261202,44730006,Uremia
4031832,14103001,Opioid receptor antagonist-containing product
197981,43478001,Abdominal tenderness
132446,199879009,Congenital anomaly of skin
4326751,75403004,Cardiac sarcoidosis
46269792,10677511000119107,Infection of toenail
4031840,14151009,Hyperesthesia
4228448,421869004,Bradyarrhythmia
46269795,10678111000119101,Ulcer of back
197988,102614006,Generalized abdominal pain
4064612,164884008,ECG: ventricular ectopics
4064614,164909002,EKG: left bundle branch block
4326757,74914000,Gait training procedure
4064616,164913009,P mitrale
46269796,10679431000119109,Localized swelling of back
4195690,67754003,Aortic valve sclerosis
4326764,75012005,"Streptococcus, group G"
4195694,67782005,Acute respiratory distress syndrome
4261232,35408001,Campylobacter
4130162,237599002,Insulin treated type 2 diabetes mellitus
4031858,129742005,Spiculated lesion
4097396,26734006,"Glasgow coma scale, 14"
4195698,67801009,Tenosynovitis
4228482,405748007,Already on aspirin
4195722,79440004,Corticosteroid and/or corticosteroid derivative-containing product
4031883,129859006,Impaired bed mobility
4228492,405777008,Psychiatric in-patient
4195726,79451004,Bronchial breathing
4031891,129895003,Impaired spontaneous ventilation
4031893,129899009,Blood pressure alteration
4228503,88361008,Cellulitis of groin
4195735,79478002,Capparis
4130204,127082004,Submandibular lymphadenopathy
4097439,25003006,Acrocyanosis
4162976,398665005,Vasovagal syncope
4294055,385342005,Bone density finding
4097447,250069006,Muscle tension
4097449,250084002,Cramp in calf
4162987,398740003,Colostomy
4097451,250087009,Joint deformity
4130231,261302000,Ivy
4064704,19965007,Human herpes simplex virus
4195785,44313006,Right heart failure secondary to left heart failure
4163026,372246008,Intracranial procedure
4031959,238159008,Desaturation of blood
4195803,312681000,Bone density scan
4064736,165018007,Lung function testing normal
4031970,238187004,Repair of incisional hernia
198124,90708001,Kidney disease
46269936,10910001000004108,Abscess of calf
4163057,293586001,Allergy to aspirin
4228594,422015002,Corneal sensation normal
4163056,293585002,Allergy to salicylate
4097527,2690005,MRI of pelvis
4064759,164771005,Examination of pharynx
4294142,75610003,"Mucopolysaccharidosis, MPS-I"
4195852,67629009,Catheterization of left heart
4032015,14415006,Pneumocephalus
4130323,236994008,Placental delivery procedure
4195865,67698009,Obsessional thoughts
4294170,385443001,Radionuclide thyroid imaging
198177,233985008,Abdominal aortic aneurysm
4195874,79887000,Excision of lesion of peritoneum
4195873,79879001,Breath smells unpleasant
198185,90688005,Chronic renal failure
4130349,12717000,Viral culture
198192,197772000,Renal and perinephric abscess
4195892,79955004,Chronic cor pulmonale
198199,45816000,Pyelonephritis
198202,252005008,Cystocele
4097596,250216004,Serum iron measurement
4130366,127199000,Inguinal lymphadenopathy
4097603,250247005,Bite cells
4130373,126768004,Neoplasm of gastrointestinal tract
4097610,250271003,White blood cell finding
46270040,12700001000004106,Pseudomonas isolated in sputum by culture
4097629,292425009,Bisoprolol adverse reaction
132702,36715001,Erythema multiforme
4294239,75851004,Scalp tenderness
132703,4776004,Lichen planus
4032095,109072000,Alpha-glucosidase inhibitor-containing product
4195939,44470000,Haemophilus influenzae
4195949,44531008,Fixed split of second heart sound
4064885,164947007,Prolonged PR interval
4228725,347120004,Dexamethasone 1 mg/mL eye drops
198263,301717006,Right upper quadrant pain
4327032,75385009,CT of thorax with contrast
4261497,45036003,Ultrasonography of abdomen
4097664,26758005,Albumin measurement
132736,5758002,Bacteremia
4097667,26764003,Leptospira
4195972,312827000,Superficial femoral artery occlusion
4327045,75451007,Thalassemia major
4064901,171112000,Screening due
4064903,171121004,HIV screening
46270092,13790001000004101,Bacteremia due to Methicillin resistant Staphylococcus aureus
4163218,293829000,Allergy to amitriptyline
40568467,394726009,Seborrheic keratosis
4032155,14509009,Evisceration
46270108,14040001000004109,Uncontrolled pain
4032157,14521008,Focal onset sensory epileptic seizure with visual symptoms
4064933,171245007,Urine screening
4261542,35991009,Aversion
4196007,431188001,Transfers using hoist
4130472,237113009,Vaginal vault prolapse
4032173,14598005,Vitamin B12 measurement
4228784,405947006,Nuchal rigidity
4032178,14627000,Increased protein diet
4294329,37740002,Ruff
132797,91302008,Sepsis
4163261,399068003,Malignant tumor of prostate
198334,18081009,Enteric campylobacteriosis
198337,19213003,Infectious diarrheal disease
4163270,399112009,Seronegative arthritis
4097740,250373003,Blood transfusion finding
4163277,399165002,Burning mouth syndrome
4228816,88348008,Maxillary sinusitis
4097745,250411006,Bone marrow finding
40437458,235724004,Acquired short bowel syndrome
46270166,15970001000004108,Periprosthetic fracture of hip
4130518,126851005,Neoplasm of liver
4130520,126854002,Neoplasm of gallbladder
198363,72934000,Candidiasis of vagina
4163291,399224009,Partial excision of inferior turbinate
132835,81000006,Pediculosis capitis
4097764,250477001,Serum cidal titer measurement
4032235,108188006,Abdomen incision
4032237,108191006,Abdomen endoscopy
4294382,76009000,Esophagogastroduodenoscopy
4196081,44119001,Anastomosis of small intestine to small intestine
4032243,108241001,Dialysis procedure
4163315,374646004,Amoxicillin 500 mg oral tablet
4294393,76046001,Ulcer of penis
4196091,44172002,Human poliovirus
4065031,171290003,Influenza vaccination consent given
4196111,312948004,Karyotype determination
4228879,422290000,Allergic disorder of skin
4163346,29291001,"Glycogen storage disease, type VI"
4065046,171353001,Fit to drive
4261656,35391003,"Magnesium measurement, urine"
4327195,74923002,Mobilization
4097822,27051004,"pH measurement, arterial"
4196133,314705003,Treatment plan given
4163369,45233003,Persistent tremor
4294444,402929007,Bacterial cellulitis
4097846,26883000,Abscess of knee
4163390,45332005,Normal capillary filling
198464,236037000,Incisional hernia
198465,33995003,Acquired megacolon
4228932,406555004,Low risk of harm to others
198475,37976006,Gallstone ileus
4228939,40658002,Amputation of forearm through radius AND ulna
4032334,14783006,Hyperbilirubinemia
4097871,190902006,Fluid imbalance
4032338,14812002,Cellulitis of penis
4097882,250564007,Measurement of partial pressure of carbon dioxide in blood
4097887,250589001,Digoxin blood measurement
4261727,409966000,Acute diarrhea
4163429,399346004,Supraspinatus tear
4032361,129691005,At increased risk for constipation
4097898,252290000,Thalassemia screening
46270317,16250001000004107,Fracture of shoulder
4196206,79592006,Beta plus thalassemia
4163440,399379004,Reactive gastropathy
4294513,76164006,Biopsy of colon
4163442,399389000,Unifocal tumor
4130675,127021009,Neoplasm of adrenal gland
4294519,76199005,Streptococcus constellatus
4130681,127062003,Erythrocytosis
4130685,127088000,Supraclavicular lymphadenopathy
133002,409780002,Acute osteomyelitis
46270349,28490001000004108,Compression fracture of L2
4032404,10847001,Bronchoscopy
4163478,374949009,Fluorometholone 1 mg/mL eye suspension
4327320,75007009,Algophobia
4261785,46049004,Reticulocytosis
4130717,264552009,Neurological deficit
4261794,46136006,Electrocardiogram with exercise test
4130723,264580006,Thyroid dysfunction
4261800,46166004,Compensated metabolic acidosis
4130729,264598005,Oximetry
4032425,236593005,Acquired hydronephrosis
198571,89138009,Cardiogenic shock
46270376,293241000119100,Acute exacerbation of chronic obstructive bronchitis
4032438,236647003,Urethral stenosis
4097982,2677003,Stripping
4097985,26782000,Cryotherapy
4163524,45460008,Intrauterine transfusion
4032454,236721000,Candiduria
4261836,35650009,Thyroid panel
4261842,36083008,Sick sinus syndrome
4261846,36094007,Listeria monocytogenes
4032472,1488000,Postoperative nausea and vomiting
4163545,45508002,Chest expansion reduced
4065252,164722000,Electromyogram normal
4229096,40675008,Serologic test for syphilis
4098029,25235000,Necking
4196339,79758006,Mid-diastolic murmur
4229110,88705004,Insulin C-peptide measurement
4196348,79793004,Ligustrum vulgare
4065278,164850009,Ambulatory ECG
4065279,164854000,ECG normal
4098046,252465000,Pulse oximetry
4261887,410155007,Occupational therapy assessment
4065282,164873001,EKG:left ventricle hypertrophy
4065285,164885009,EKG: atrial ectopics
4196358,79823003,Panic
4032520,129818000,Activity of daily living (ADL) alteration
4065288,164890007,EKG: atrial flutter
4130829,12719002,Platelet transfusion
4032525,129837009,Ineffective protection
4032527,129839007,At increased risk for falls
4229134,8849004,Galactose epimerase deficiency
4032529,129849005,At increased risk for excess fluid volume
133141,6020002,Tinea pedis
198678,266071000,Intestinal infectious disease
4294680,75724008,Hippus
4196378,44441009,Flexible fiberoptic sigmoidoscopy
4294683,75732000,Vitrectomy
4130851,127278005,Injury of upper extremity
4130852,127279002,Injury of lower limb
4196388,44494000,"Spondylolisthesis, grade 1"
4294696,75817003,Cellulitis of breast
198700,94381002,Metastatic malignant neoplasm to liver
4032559,10867005,Buffalo hump
133169,52967002,Myelofibrosis
42534961,11791281000119103,Injury of right hand
42534972,1191000087104,Ultrasonography of right lower limb
4098112,27123005,Biliary sludge
133191,49986002,Central pain
4163657,293935001,Allergy to chlorpromazine
4196427,315234002,Secondary prevention
4130892,264467005,False tendon - heart
4098128,26918003,Ascending cholangitis
4261970,35728003,Familial cardiomyopathy
4032594,236781003,Inflammation of scrotum
4098135,26958001,Hepatic function panel
4032605,23682002,Love
4065384,164914003,P pulmonale
4229225,406790009,Aripiprazole 30 mg oral tablet
4065387,164918000,Pathological Q wave
133228,80967001,Dental caries
4032621,236883005,Evacuation of retained product of conception
4098158,191394000,Calcified lymph nodes
4262005,410194008,Pulse taking assessment
4065404,165022002,Lung function restrictive
4163710,399020009,Dilated cardiomyopathy
4130943,375193003,Mirtazapine 15 mg oral tablet
4163713,399042005,Chemotherapy cycle
4098179,252318005,Immunology laboratory test
4130951,375287000,Oxygen 1 mL/mL gas for inhalation
4065416,165079009,Exercise tolerance test
4098184,252337001,Cell function assay
4196492,79863002,Loud first heart sound
4229262,88518009,Wilson's disease
4098191,25236004,Replacement of tricuspid valve
198802,20018005,Occlusion of ureter
198803,266569009,Benign prostatic hyperplasia
4196500,79899007,Medication interaction
4098197,252380005,Allergy profile
198806,8725005,Abscess of prostate
4163735,399187006,Hemochromatosis
198807,67685000,Prostatocystitis
198809,65275009,Acute cholecystitis
4196506,79915001,Fatigability
4294810,75864003,Psychiatric symptom
4130970,375396003,Levetiracetam 750 mg oral tablet
4032669,129902007,Skin incision finding
4327582,430701006,Resuscitation using intravenous fluid
133280,56317004,Alopecia
133283,74578003,Pyoderma gangrenosum
133294,17059001,Prepatellar bursitis
42535090,15936341000119106,Need for personal care assistance
133299,80068009,Swelling of limb
4130995,126838000,Neoplasm of colon
4294834,75971007,Choroidal retinal neovascularization
4131007,126908007,Neoplasm of uterus
42535112,16000511000119103,Cerebrovascular accident due to occlusion of left middle cerebral artery
4131022,264521008,Euthyroid
4163791,293967003,Allergy to bisoprolol
4131024,26515008,Butting
133327,2528003,Viremia
4294868,400972008,Renewal of intravenous cardiac pacemaker system
4163801,294002003,Allergy to amlodipine
4327645,75252003,Inspiratory crackles
4065502,20165001,Hyperphosphatemia
4294885,401061005,Mental health review
4327654,75295004,Hard stool
4294887,37732008,Cluttering
4163814,294037000,Allergy to albuterol
4196581,313204009,Lifestyle education
4163820,294074001,Allergy to scopolamine
4131053,264558008,Pelvic hematoma
4131056,264569006,Secondary infection
4098292,26843008,Antiphospholipid syndrome
4032756,236958009,Induction of labor
4065526,167609007,Feces color: green
4065524,167607009,Yellow color of feces
4098302,191616006,Recurrent depression
4065537,167569004,Urine culture - mixed growth
4065538,167570003,Urine culture - E. coli
4065539,167571004,Urine culture - Proteus
4065540,167574007,Urine culture - Pseudomonas
4098314,191708009,Chronic anxiety
4229392,404641004,Giddiness
4032787,14735008,Hyperosmolarity
4032789,14740000,Triglycerides measurement
4196636,8011004,Dysarthria
4098333,252443000,Continuous wave ultrasonic Doppler
4196638,80119007,Pericarditis secondary to uremia
4032796,14756005,Parotitis
4163872,399208008,Plain chest X-ray
4163873,399210005,Neurological investigation
4032801,14788002,Antimicrobial susceptibility test
4032800,14786003,Saturday night paralysis
4098343,252469006,Pulse generated run-off
4327721,430799001,Transjugular biopsy of liver
198964,128302006,Chronic hepatitis C
4131124,127035006,Bone marrow disorder
4163894,399307001,Lost to follow-up
4098358,252316009,Group and save
4065590,21619009,Permanent tracheostomy
4196666,50517009,Proteus
4065595,21633009,Veillonella atypica
133436,29028009,Thyrotoxic crisis
42535230,16260471000119101,Right radial nerve palsy
4163903,399331006,CT without contrast
4098368,252331000,Immunofixation
4229440,88805009,Chronic congestive heart failure
4131138,127097001,Thoracic lymphadenopathy
133444,82119001,Thyroiditis
4000069,19317004,Posterior anal sphincterotomy
4163909,399350006,Under follow-up
4196678,50465008,Hernia repair
198984,363354003,Malignant tumor of cervix
4229451,88834003,Construction of shunt
4196695,50551008,Right shifted white blood cells
4295004,401068004,Seen by smoking cessation advisor
4032861,109333005,Osteoradionecrosis
4196713,313304007,Non-traumatic spinal subdural hematoma
4196718,313341008,International normalized ratio above reference range
4163951,29303009,Electrocardiographic procedure
4032889,238792006,Mixed arteriovenous leg ulcer
4163969,4559000,Mixed infectious disease
4163971,45595009,Laparoscopic cholecystectomy
4262276,35745008,Umbilical discharge
4327812,75469003,TORCH antibody panel measurement
4327815,75408008,Feeling angry
4295058,385822007,Universal precautions
4163987,45676007,Gingival polyp
199064,111354009,Chronic vascular insufficiency of intestine
4295064,385848004,Breathing exercise assessment
4229532,437997008,Stella
199073,266463007,Iliopsoas abscess
199074,197456007,Acute pancreatitis
4000163,19282004,Cough on exercise
4262306,397802005,Minute ventilation
4262309,397830005,Pericardial anomaly
199078,398022005,Vaginal wall prolapse
199075,398064005,Neurogenic bladder
4000167,19311003,Collagenous colitis
4131241,375770003,Clobetasol propionate 500 microgram/g cutaneous foam
42535338,1811000124107,Pain medication review
133547,70759006,Pyoderma
4262316,397841007,Drug-induced bradycardia
4262315,397839006,Equipment malfunction
4032940,14921002,Aarskog syndrome
4065711,172216007,Curettage of lesion of eyelid
4065710,172212009,Excision of lesion of eyelid
46270897,708891002,Emotionally stable
4327861,428763004,Bacteremia due to Staphylococcus aureus
4262331,397917005,Equipment in use
42535356,1991000124105,Referred by self
4098492,252357002,Basophil challenge test
133566,52486002,Necrotizing fasciitis
4229566,404912005,Unexplained falls
133569,36948007,Fasciitis
4229571,404936009,Wide base of support
4098501,252390002,Culture and susceptibility
4098502,252393000,Stool microscopy
4098503,252399001,Cerebrospinal fluid culture
4295112,76334006,Immunological therapy
4098508,252417001,24 Hour ECG
4098509,252432008,Radionuclide myocardial perfusion study
4131278,127144009,Mesenteric lymphadenopathy
4131281,127154008,Retroperitoneal lymphadenopathy
4327889,429098002,Thromboembolism of vein
46270931,708929007,Robot assisted laparoscopic partial nephrectomy
4131289,127189005,Axillary lymphadenopathy
4295129,76388001,ST segment elevation
4065756,20022000,Hemiparesis
4295140,76449004,Injection of knee
4262378,46179008,Injection of anesthetic agent into brachial plexus
4098539,292964001,Flucloxacillin adverse reaction
4196844,313578007,Urine sample volume measurement
4065773,167568007,Urine culture - no growth
4229614,88968005,Duodenal ulcer with perforation
4164076,272419002,Large tumor
4065777,167585009,Urine nitrite
4295155,401221002,Ankle brachial pressure index
4262394,46248003,Hemoglobin E trait
4131328,264534009,Hypothalamic injury
4327938,75506009,Construction of stoma
4033029,238892000,Oil granuloma
4098580,27144005,Fluid thrill in abdomen
